hour_of_year,demand_wh,wind_speed_ms,egen_wh,deficit_wh,generator_output_wh
8486,1296682.7143057825,2.6003402005664724,4655.78530628432,1292026.9289994983,1292026.9289994983
8487,832065.7240281863,1.5576917143489981,0.0,832065.7240281863,832065.7240281863
8488,542742.8609664052,0.590415407858088,0.0,542742.8609664052,542742.8609664052
8489,571933.5045878767,0.4145469884961044,0.0,571933.5045878767,571933.5045878767
8490,563975.1260719133,0.5150432281315236,0.0,563975.1260719133,563975.1260719133
8491,543835.4472019889,0.8290939769922088,0.0,543835.4472019889,543835.4472019889
8492,441480.7260076202,0.9547142765364828,0.0,441480.7260076202,441480.7260076202
8493,528986.9442499039,0.803969917083354,0.0,528986.9442499039,528986.9442499039
8494,457470.92502475367,1.0677725461263294,0.0,457470.92502475367,457470.92502475367
8495,459214.28187367663,1.6456259240299902,0.0,459214.28187367663,459214.28187367663
8496,460512.9387754975,2.2109172719792234,0.0,460512.9387754975,460512.9387754975
8497,295212.78176874603,2.5877781706120455,4072.9071163989115,291139.8746523471,291139.8746523471
8498,298642.27867217275,2.813894709791739,14564.714534336692,284077.56413783605,284077.56413783605
8499,329301.3684400936,3.065135308880287,28931.90718146524,300369.46125862835,300369.46125862835
8500,353671.3729421694,3.253565758196698,45513.786721309414,308157.58622085996,308157.58622085996
8501,326216.18006241735,3.3289379379232624,52146.5385372471,274069.64152517024,274069.64152517024
8502,367732.8708652637,3.4168721476042543,59884.74898917438,307848.1218760893,307848.1218760893
8503,402845.7563742304,3.4671202674219637,64306.583533132805,338539.1728410976,338539.1728410976
8504,427655.5280837828,3.3289379379232624,52146.5385372471,375508.9895465357,375508.9895465357
8505,414351.2588836773,3.4671202674219637,64306.583533132805,350044.6753505445,350044.6753505445
8506,388102.7640625454,2.6254642604753275,5821.541686055199,382281.2223764902,382281.2223764902
8507,437662.164389804,2.1229830622982315,0.0,437662.164389804,437662.164389804
8508,437408.19553387247,1.7586841936198365,0.0,437408.19553387247,437408.19553387247
8509,340410.3588183443,1.3441372051237324,0.0,340410.3588183443,340410.3588183443
8510,372892.90660965285,1.143144725852894,0.0,372892.90660965285,372892.90660965285
8511,379858.6851532055,1.30645111526045,0.0,379858.6851532055,379858.6851532055
8512,387420.0858920003,1.3692612650325873,0.0,387420.0858920003,387420.0858920003
8513,477198.02650612046,1.6456259240299902,0.0,477198.02650612046,477198.02650612046
8514,417393.6122107476,1.6581879539844175,0.0,417393.6122107476,417393.6122107476
8515,471501.9000327437,1.1933928456706033,0.0,471501.9000327437,471501.9000327437
8516,429646.2046138533,0.8290939769922088,0.0,429646.2046138533,429646.2046138533
8517,444924.0403064324,0.7411597673112169,0.0,444924.0403064324,444924.0403064324
8518,360008.5371487492,1.1682687857617486,0.0,360008.5371487492,360008.5371487492
8519,312445.6978115668,1.8214943433919737,0.0,312445.6978115668,312445.6978115668
8520,283383.00931295234,2.3365375715234973,0.0,283383.00931295234,283383.00931295234
8521,309091.9209921265,2.449595841113344,0.0,309091.9209921265,309091.9209921265
8522,318148.5197432262,2.32397554156907,0.0,318148.5197432262,318148.5197432262
8523,288540.0152229654,2.236041331888078,0.0,288540.0152229654,288540.0152229654
8524,303573.46296446334,2.1606691521615136,0.0,303573.46296446334,303573.46296446334
8525,322802.64689718786,2.148107122207086,0.0,322802.64689718786,322802.64689718786
8526,358359.3314222265,2.173231182115941,0.0,358359.3314222265,358359.3314222265
8527,439754.59058225696,2.2988514816602152,0.0,439754.59058225696,439754.59058225696
8528,409833.8533605992,2.512405990885481,575.6379770863184,409258.2153835129,409258.2153835129
8529,398062.19522945496,2.7259605001107468,10484.56720513865,387577.6280243163,387577.6280243163
8530,419269.89315148775,1.6707499839388449,0.0,419269.89315148775,419269.89315148775
8531,434242.188446031,1.1305826958984664,0.0,434242.188446031,434242.188446031
8532,385995.1366373823,0.8793420968099183,0.0,385995.1366373823,385995.1366373823
8533,385924.291495404,0.464795108313814,0.0,385924.291495404,385924.291495404
8534,384097.5909816142,0.5401672880403784,0.0,384097.5909816142,384097.5909816142
8535,375421.2350652104,1.0803345760807568,0.0,375421.2350652104,375421.2350652104
8536,363528.6243920693,1.5576917143489981,0.0,363528.6243920693,363528.6243920693
8537,430813.5705698856,1.9471146429362478,0.0,430813.5705698856,430813.5705698856
8538,466258.9338792816,1.9973627627539574,0.0,466258.9338792816,466258.9338792816
8539,496743.446266401,1.5200056244857159,0.0,496743.446266401,496743.446266401
8540,462413.2046160512,0.8416560069466362,0.0,462413.2046160512,462413.2046160512
8541,426852.74207006063,0.3517368387239674,0.0,426852.74207006063,426852.74207006063
8542,399288.32647537446,0.803969917083354,0.0,399288.32647537446,399288.32647537446
8543,345794.44672701415,1.3692612650325873,0.0,345794.44672701415,345794.44672701415
8544,281203.9367737665,1.8466184033008286,0.0,281203.9367737665,281203.9367737665
8545,299031.0292535144,2.2611653917969328,0.0,299031.0292535144,299031.0292535144
8546,331077.91376707074,2.7385225300651745,11067.445395024099,320010.46837204666,320010.46837204666
8547,316714.52762783936,3.1405074886068514,35564.65899740291,281149.8686304364,281149.8686304364
8548,328744.3826795892,3.4294341775586816,60990.20762516399,267754.1750544252,267754.1750544252
8549,332297.0265568196,3.655550716738375,85492.76428843293,246804.2622683867,246804.2622683867
8550,360943.95939078525,3.818857106145931,104697.59568276149,256246.36370802377,256246.36370802377
8551,394869.20298545394,3.96960146559906,122425.13235444948,272444.07063100446,272444.07063100446
8552,376310.63287258026,4.170593944869898,151520.85415253678,224789.77872004348,224789.77872004348
8553,406959.33145391423,4.145469884961043,147762.2947901721,259197.03666374212,259197.03666374212
8554,388990.39793726,3.4043101176498265,58779.29035318473,330211.10758407525,330211.10758407525
8555,442760.4527886448,2.5375300507943357,1741.3943568571758,441019.05843178765,441019.05843178765
8556,423943.72197586816,1.7461221636654092,0.0,423943.72197586816,423943.72197586816
8557,371762.402435269,0.9672763064909102,0.0,371762.402435269,371762.402435269
8558,380011.3781895217,0.6281014977213702,0.0,380011.3781895217,380011.3781895217
8559,368601.2210671166,0.9170281866732005,0.0,368601.2210671166,368601.2210671166
8560,381636.1359057133,1.3943853249414422,0.0,381636.1359057133,381636.1359057133
8561,451324.8048901428,2.0727349424805217,0.0,451324.8048901428,451324.8048901428
8562,462514.8534823953,2.6003402005664724,4655.78530628432,457859.068176111,457859.068176111
8563,477069.7115386754,2.6882744102474647,8735.932635482362,468333.7789031931,468333.7789031931
