hour_of_year,demand_wh,wind_speed_ms,egen_wh,delta_e_wh,block_id,battery_soc_wh
4385,447393.5508929354,7.641907669131249,556676.4502765272,109282.89938359178,450,96609223.89596082
4386,422614.3542211944,7.711696780264869,572057.970370377,149443.61614918255,450,96758667.51211001
4387,433220.9010194635,7.537224002430823,533604.1701357533,100383.26911628986,450,96859050.78122629
4388,447205.7993819683,7.2580675578963465,478078.0143245254,30872.214942557097,450,96889922.99616885
4389,442776.12481571897,6.769543779961015,388145.8951293258,-54630.22968639317,451,96835292.76648246
4390,441100.729267901,6.769543779961015,388145.8951293258,-52954.834138575185,451,96782337.93234389
4391,395506.7468016412,5.338867001721832,183682.0105914677,-211824.7362101735,451,96570513.19613372
4392,373600.14571817673,4.9899214460537396,145080.83588010108,-228519.30983807566,451,96341993.88629565
4393,340261.31766774505,4.5711867792520255,106892.23426778473,-233369.0833999603,451,96108624.80289568
4394,286354.4201793166,4.675870445952455,116439.38467086392,-169915.03550845268,451,95938709.76738723
4395,286043.57068689907,5.1294996683209755,160400.36311729247,-125643.2075696066,451,95813066.55981761
4396,336435.896276928,5.862285335223973,249856.4066518332,-86579.48962509481,451,95726487.07019252
4397,332336.8631347889,5.338867001721832,183682.0105914677,-148654.85254332118,451,95577832.21764919
4398,368210.0520878574,5.164394223887786,164280.63769632182,-203929.41439153557,451,95373902.80325766
4399,424359.0540929522,4.675870445952455,116439.38467086392,-307919.6694220883,451,95065983.13383557
4400,427544.2241245007,4.187346668017123,77013.53076768082,-350530.6933568199,451,94715452.44047874
4401,391194.7739918105,4.0477684457498855,66573.07974209143,-324621.6942497191,451,94390830.74622902
4402,400181.4447639975,4.0477684457498855,66573.07974209143,-333608.3650219061,451,94057222.38120712
4403,336203.3086704904,4.0477684457498855,66573.07974209143,-269630.228928399,451,93787592.15227872
4404,332100.4365786748,4.710765001519263,119621.76813855681,-212478.66844011802,451,93575113.4838386
4405,310309.051866494,5.513339779555879,203376.85863684304,-106932.19322965096,451,93468181.29060896
4406,294005.697051394,6.52528189099335,346328.2597380615,52322.562686667545,452,93520503.85329562
4407,301814.24918023066,7.467434891297203,519030.2647377329,217216.01555750222,452,93737719.86885312
